model,wanted,prediction,count
object100_tf_mobilenet_v2_00_43,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_43,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_43,ecouteurs,other,0
object100_tf_mobilenet_v2_00_43,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_43,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_43,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_43,keycap-puller,keycap-puller,15
object100_tf_mobilenet_v2_00_43,keycap-puller,other,4
object100_tf_mobilenet_v2_00_43,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_43,keycap-puller,porte-mine,3
object100_tf_mobilenet_v2_00_43,other,ecouteurs,0
object100_tf_mobilenet_v2_00_43,other,keycap-puller,0
object100_tf_mobilenet_v2_00_43,other,other,11
object100_tf_mobilenet_v2_00_43,other,pc-stand,0
object100_tf_mobilenet_v2_00_43,other,porte-mine,2
object100_tf_mobilenet_v2_00_43,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_43,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_43,pc-stand,other,0
object100_tf_mobilenet_v2_00_43,pc-stand,pc-stand,16
object100_tf_mobilenet_v2_00_43,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_43,porte-mine,ecouteurs,0
object100_tf_mobilenet_v2_00_43,porte-mine,keycap-puller,1
object100_tf_mobilenet_v2_00_43,porte-mine,other,0
object100_tf_mobilenet_v2_00_43,porte-mine,pc-stand,2
object100_tf_mobilenet_v2_00_43,porte-mine,porte-mine,22
