model,wanted,prediction,count
object100_tf_train_01_02,0,0,0
object100_tf_train_01_02,0,1,1
object100_tf_train_01_02,0,2,0
object100_tf_train_01_02,0,3,22
object100_tf_train_01_02,0,4,0
object100_tf_train_01_02,1,0,0
object100_tf_train_01_02,1,1,0
object100_tf_train_01_02,1,2,4
object100_tf_train_01_02,1,3,18
object100_tf_train_01_02,1,4,0
object100_tf_train_01_02,2,0,0
object100_tf_train_01_02,2,1,0
object100_tf_train_01_02,2,2,9
object100_tf_train_01_02,2,3,4
object100_tf_train_01_02,2,4,0
object100_tf_train_01_02,3,0,0
object100_tf_train_01_02,3,1,0
object100_tf_train_01_02,3,2,1
object100_tf_train_01_02,3,3,15
object100_tf_train_01_02,3,4,0
object100_tf_train_01_02,4,0,0
object100_tf_train_01_02,4,1,0
object100_tf_train_01_02,4,2,2
object100_tf_train_01_02,4,3,23
object100_tf_train_01_02,4,4,0
