model,wanted,prediction,count
objects150_tf_efficientnet_b0_00_04,ecouteurs,ecouteurs,32
objects150_tf_efficientnet_b0_00_04,ecouteurs,keycap-puller,0
objects150_tf_efficientnet_b0_00_04,ecouteurs,other,0
objects150_tf_efficientnet_b0_00_04,ecouteurs,pc-stand,0
objects150_tf_efficientnet_b0_00_04,ecouteurs,porte-mine,0
objects150_tf_efficientnet_b0_00_04,keycap-puller,ecouteurs,0
objects150_tf_efficientnet_b0_00_04,keycap-puller,keycap-puller,27
objects150_tf_efficientnet_b0_00_04,keycap-puller,other,0
objects150_tf_efficientnet_b0_00_04,keycap-puller,pc-stand,0
objects150_tf_efficientnet_b0_00_04,keycap-puller,porte-mine,0
objects150_tf_efficientnet_b0_00_04,other,ecouteurs,2
objects150_tf_efficientnet_b0_00_04,other,keycap-puller,0
objects150_tf_efficientnet_b0_00_04,other,other,29
objects150_tf_efficientnet_b0_00_04,other,pc-stand,0
objects150_tf_efficientnet_b0_00_04,other,porte-mine,1
objects150_tf_efficientnet_b0_00_04,pc-stand,ecouteurs,0
objects150_tf_efficientnet_b0_00_04,pc-stand,keycap-puller,0
objects150_tf_efficientnet_b0_00_04,pc-stand,other,0
objects150_tf_efficientnet_b0_00_04,pc-stand,pc-stand,30
objects150_tf_efficientnet_b0_00_04,pc-stand,porte-mine,0
objects150_tf_efficientnet_b0_00_04,porte-mine,ecouteurs,1
objects150_tf_efficientnet_b0_00_04,porte-mine,keycap-puller,1
objects150_tf_efficientnet_b0_00_04,porte-mine,other,0
objects150_tf_efficientnet_b0_00_04,porte-mine,pc-stand,0
objects150_tf_efficientnet_b0_00_04,porte-mine,porte-mine,30
